Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACID1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACTE1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_CLOS1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_CLOS2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_MEG5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACID2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ANA1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_EUB1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_EUB2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LCO1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LCO2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LCO3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LCO1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACUT1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SPH1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_BACIL1_1	2.666916
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_BURK1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACIL2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LCO1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACIL1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_PREV1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SPH2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_BACTE1_1	1.7346607
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_DIAL1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACIL7_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACTE7_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_PREV6_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_PREV7_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SELEN1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_BUL1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PREV1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_ACET1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_COR4	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_COR5	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LAC1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LAC2_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LAC3_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LAC5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LCO2	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ACET1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ATO2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_BIF1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_CLOS2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LAC2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LAC3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LENLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LIGLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACT1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO6_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACTE2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACTE5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF12_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF14_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF16_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF8_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BURK4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ENTER1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LCO2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_MEG1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_MEG3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_OSCL3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_STREP1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET6_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LACCAS2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LACPLAN1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PED3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PREV2_1	0.97491335
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ACUT4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACIL6_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LIQLAC2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_BAC2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_CLOS1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ATO1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_SCHLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACT2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BURK1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ENTER2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_PREV4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC6_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_COR2_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_COR3_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LAC4_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ACUT1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_ACUT3_1	0
