"Rel_Abundance"	"variable"	"value"
"254"	"UW_MP_ENTER4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"255"	"UW_MP_PREV8_1"	"AI_AcidSludgeSampleB_PacBio"	0
"256"	"UW_MP_SCHLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"257"	"UW_MP_SPOR1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"258"	"UW_TS_ACET5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"259"	"UW_TS_BAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"260"	"UW_TS_LAC5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"261"	"UW_TS_LEVLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"262"	"UW_TS_LIMLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"263"	"UW_DM_LIMLAC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	3.527909925
"264"	"UW_MP_ATO5_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"265"	"UW_MP_BIF15_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"266"	"UW_TS_LAC2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.070191104
"267"	"UW_TS_LACCAS1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.10095042
"268"	"UW_TS_PED1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"269"	"UW_TS_PED2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"270"	"UW_MP_BIF3_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.01529179
"271"	"UW_TS_ACET3_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"272"	"UW_TS_LAC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"273"	"UW_TS_LAC3_1"	"AI_DMB5_1SRT_Day06_PacBio"	2.41163545
"274"	"UW_MP_BIF2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.123701195
"275"	"UW_MP_LEUC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.35539285
"276"	"UW_DM_LIMLAC2_1"	"AI_DMB5_1SRT_Day06_PacBio"	5.922298325
"277"	"UW_MP_BIF10_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.145395133
"278"	"UW_MP_LIQLAC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.040955778
"279"	"UW_TS_ATO2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
